size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,2.048e+03,2.560e+00,3.088e+03,3.860e+00,8.000e+02
32,32,32,8.192e+03,2.482e+00,1.230e+04,3.728e+00,3.300e+03
48,48,48,1.843e+04,2.458e+00,2.766e+04,3.689e+00,7.500e+03
64,64,64,3.277e+04,2.464e+00,4.917e+04,3.697e+00,1.330e+04
80,80,80,5.120e+04,2.462e+00,7.682e+04,3.693e+00,2.080e+04
96,96,96,7.373e+04,2.458e+00,1.106e+05,3.687e+00,3.000e+04
112,112,112,1.004e+05,2.472e+00,1.505e+05,3.708e+00,4.060e+04
128,128,128,1.311e+05,2.455e+00,1.966e+05,3.682e+00,5.340e+04
144,144,144,1.659e+05,2.461e+00,2.488e+05,3.692e+00,6.740e+04
160,160,160,2.048e+05,2.456e+00,3.072e+05,3.684e+00,8.340e+04
176,176,176,2.478e+05,2.425e+00,3.717e+05,3.637e+00,1.022e+05
192,192,192,2.949e+05,2.425e+00,4.424e+05,3.638e+00,1.216e+05
208,208,208,3.461e+05,2.419e+00,5.192e+05,3.628e+00,1.431e+05
224,224,224,4.014e+05,2.424e+00,6.021e+05,3.636e+00,1.656e+05
240,240,240,4.608e+05,2.413e+00,6.912e+05,3.619e+00,1.910e+05
256,256,256,5.243e+05,2.408e+00,7.864e+05,3.613e+00,2.177e+05
272,272,272,5.919e+05,2.404e+00,8.878e+05,3.606e+00,2.462e+05
288,288,288,6.636e+05,2.415e+00,9.953e+05,3.622e+00,2.748e+05
304,304,304,7.393e+05,2.415e+00,1.109e+06,3.622e+00,3.062e+05
320,320,320,8.192e+05,2.414e+00,1.229e+06,3.621e+00,3.394e+05
336,336,336,9.032e+05,2.407e+00,1.355e+06,3.610e+00,3.753e+05
352,352,352,9.912e+05,2.406e+00,1.487e+06,3.610e+00,4.119e+05
368,368,368,1.083e+06,2.408e+00,1.625e+06,3.611e+00,4.500e+05
384,384,384,1.180e+06,2.411e+00,1.769e+06,3.617e+00,4.892e+05
400,400,400,1.280e+06,2.408e+00,1.920e+06,3.612e+00,5.315e+05
416,416,416,1.384e+06,2.412e+00,2.077e+06,3.618e+00,5.740e+05
432,432,432,1.493e+06,2.411e+00,2.240e+06,3.617e+00,6.192e+05
448,448,448,1.606e+06,2.412e+00,2.408e+06,3.617e+00,6.658e+05
464,464,464,1.722e+06,2.412e+00,2.584e+06,3.618e+00,7.141e+05
480,480,480,1.843e+06,2.412e+00,2.765e+06,3.617e+00,7.643e+05
496,496,496,1.968e+06,2.410e+00,2.952e+06,3.615e+00,8.167e+05
512,512,512,2.097e+06,2.320e+00,3.146e+06,3.479e+00,9.041e+05
528,528,528,2.230e+06,2.409e+00,3.345e+06,3.613e+00,9.259e+05
544,544,544,2.367e+06,2.405e+00,3.551e+06,3.607e+00,9.846e+05
560,560,560,2.509e+06,2.412e+00,3.763e+06,3.618e+00,1.040e+06
576,576,576,2.654e+06,2.412e+00,3.981e+06,3.618e+00,1.100e+06
592,592,592,2.804e+06,2.410e+00,4.206e+06,3.614e+00,1.164e+06
608,608,608,2.957e+06,2.411e+00,4.436e+06,3.616e+00,1.227e+06
624,624,624,3.115e+06,2.411e+00,4.673e+06,3.617e+00,1.292e+06
640,640,640,3.277e+06,2.417e+00,4.915e+06,3.625e+00,1.356e+06
656,656,656,3.443e+06,2.411e+00,5.164e+06,3.617e+00,1.428e+06
672,672,672,3.613e+06,2.410e+00,5.419e+06,3.615e+00,1.499e+06
688,688,688,3.787e+06,2.411e+00,5.680e+06,3.616e+00,1.571e+06
704,704,704,3.965e+06,2.416e+00,5.947e+06,3.624e+00,1.641e+06
720,720,720,4.147e+06,2.415e+00,6.221e+06,3.623e+00,1.717e+06
736,736,736,4.334e+06,2.415e+00,6.500e+06,3.622e+00,1.795e+06
752,752,752,4.524e+06,2.417e+00,6.786e+06,3.626e+00,1.871e+06
768,768,768,4.719e+06,2.416e+00,7.078e+06,3.624e+00,1.953e+06
784,784,784,4.917e+06,2.413e+00,7.376e+06,3.619e+00,2.038e+06
800,800,800,5.120e+06,2.418e+00,7.680e+06,3.626e+00,2.118e+06
816,816,816,5.327e+06,2.417e+00,7.990e+06,3.626e+00,2.204e+06
832,832,832,5.538e+06,2.417e+00,8.307e+06,3.625e+00,2.292e+06
848,848,848,5.753e+06,2.413e+00,8.629e+06,3.620e+00,2.384e+06
864,864,864,5.972e+06,2.415e+00,8.958e+06,3.623e+00,2.472e+06
880,880,880,6.195e+06,2.416e+00,9.293e+06,3.624e+00,2.564e+06
896,896,896,6.423e+06,2.414e+00,9.634e+06,3.621e+00,2.660e+06
912,912,912,6.654e+06,2.415e+00,9.981e+06,3.622e+00,2.756e+06
928,928,928,6.889e+06,2.412e+00,1.033e+07,3.618e+00,2.856e+06
944,944,944,7.129e+06,2.415e+00,1.069e+07,3.622e+00,2.953e+06
960,960,960,7.373e+06,2.403e+00,1.106e+07,3.605e+00,3.068e+06
976,976,976,7.621e+06,2.407e+00,1.143e+07,3.611e+00,3.166e+06
992,992,992,7.873e+06,2.404e+00,1.181e+07,3.606e+00,3.275e+06
1008,1008,1008,8.129e+06,2.402e+00,1.219e+07,3.602e+00,3.385e+06
