size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,2.048e+03,7.062e-01,3.088e+03,1.065e+00,2.900e+03
32,32,32,8.192e+03,6.884e-01,1.230e+04,1.034e+00,1.190e+04
48,48,48,1.843e+04,6.878e-01,2.766e+04,1.032e+00,2.680e+04
64,64,64,3.277e+04,6.742e-01,4.917e+04,1.012e+00,4.860e+04
80,80,80,5.120e+04,6.863e-01,7.682e+04,1.030e+00,7.460e+04
96,96,96,7.373e+04,6.839e-01,1.106e+05,1.026e+00,1.078e+05
112,112,112,1.004e+05,6.845e-01,1.505e+05,1.027e+00,1.466e+05
128,128,128,1.311e+05,6.834e-01,1.966e+05,1.025e+00,1.918e+05
144,144,144,1.659e+05,6.821e-01,2.488e+05,1.023e+00,2.432e+05
160,160,160,2.048e+05,6.818e-01,3.072e+05,1.023e+00,3.004e+05
176,176,176,2.478e+05,6.814e-01,3.717e+05,1.022e+00,3.637e+05
192,192,192,2.949e+05,6.803e-01,4.424e+05,1.020e+00,4.335e+05
208,208,208,3.461e+05,6.804e-01,5.192e+05,1.021e+00,5.087e+05
224,224,224,4.014e+05,6.809e-01,6.021e+05,1.021e+00,5.895e+05
240,240,240,4.608e+05,6.815e-01,6.912e+05,1.022e+00,6.762e+05
256,256,256,5.243e+05,6.811e-01,7.864e+05,1.022e+00,7.698e+05
272,272,272,5.919e+05,6.802e-01,8.878e+05,1.020e+00,8.702e+05
288,288,288,6.636e+05,6.797e-01,9.953e+05,1.020e+00,9.763e+05
304,304,304,7.393e+05,6.795e-01,1.109e+06,1.019e+00,1.088e+06
320,320,320,8.192e+05,6.794e-01,1.229e+06,1.019e+00,1.206e+06
336,336,336,9.032e+05,6.795e-01,1.355e+06,1.019e+00,1.329e+06
352,352,352,9.912e+05,6.801e-01,1.487e+06,1.020e+00,1.458e+06
368,368,368,1.083e+06,6.801e-01,1.625e+06,1.020e+00,1.593e+06
384,384,384,1.180e+06,6.794e-01,1.769e+06,1.019e+00,1.736e+06
400,400,400,1.280e+06,6.793e-01,1.920e+06,1.019e+00,1.884e+06
416,416,416,1.384e+06,6.793e-01,2.077e+06,1.019e+00,2.038e+06
432,432,432,1.493e+06,6.798e-01,2.240e+06,1.020e+00,2.196e+06
448,448,448,1.606e+06,6.797e-01,2.408e+06,1.020e+00,2.362e+06
464,464,464,1.722e+06,6.796e-01,2.584e+06,1.019e+00,2.534e+06
480,480,480,1.843e+06,6.790e-01,2.765e+06,1.019e+00,2.714e+06
496,496,496,1.968e+06,6.793e-01,2.952e+06,1.019e+00,2.897e+06
512,512,512,2.097e+06,6.792e-01,3.146e+06,1.019e+00,3.088e+06
528,528,528,2.230e+06,6.798e-01,3.345e+06,1.020e+00,3.281e+06
544,544,544,2.367e+06,6.789e-01,3.551e+06,1.018e+00,3.487e+06
560,560,560,2.509e+06,6.795e-01,3.763e+06,1.019e+00,3.692e+06
576,576,576,2.654e+06,6.790e-01,3.981e+06,1.019e+00,3.909e+06
592,592,592,2.804e+06,6.793e-01,4.206e+06,1.019e+00,4.128e+06
608,608,608,2.957e+06,6.794e-01,4.436e+06,1.019e+00,4.353e+06
624,624,624,3.115e+06,6.791e-01,4.673e+06,1.019e+00,4.587e+06
640,640,640,3.277e+06,6.792e-01,4.915e+06,1.019e+00,4.825e+06
656,656,656,3.443e+06,6.792e-01,5.164e+06,1.019e+00,5.068e+06
672,672,672,3.613e+06,6.795e-01,5.419e+06,1.019e+00,5.317e+06
688,688,688,3.787e+06,6.793e-01,5.680e+06,1.019e+00,5.575e+06
704,704,704,3.965e+06,6.793e-01,5.947e+06,1.019e+00,5.837e+06
720,720,720,4.147e+06,6.790e-01,6.221e+06,1.019e+00,6.108e+06
736,736,736,4.334e+06,6.791e-01,6.500e+06,1.019e+00,6.381e+06
752,752,752,4.524e+06,6.791e-01,6.786e+06,1.019e+00,6.662e+06
768,768,768,4.719e+06,6.794e-01,7.078e+06,1.019e+00,6.945e+06
784,784,784,4.917e+06,6.790e-01,7.376e+06,1.019e+00,7.242e+06
800,800,800,5.120e+06,6.784e-01,7.680e+06,1.018e+00,7.547e+06
816,816,816,5.327e+06,6.784e-01,7.990e+06,1.018e+00,7.852e+06
832,832,832,5.538e+06,6.786e-01,8.307e+06,1.018e+00,8.161e+06
848,848,848,5.753e+06,6.789e-01,8.629e+06,1.018e+00,8.474e+06
864,864,864,5.972e+06,6.782e-01,8.958e+06,1.017e+00,8.805e+06
880,880,880,6.195e+06,6.785e-01,9.293e+06,1.018e+00,9.131e+06
896,896,896,6.423e+06,6.782e-01,9.634e+06,1.017e+00,9.470e+06
912,912,912,6.654e+06,6.784e-01,9.981e+06,1.018e+00,9.808e+06
928,928,928,6.889e+06,6.777e-01,1.033e+07,1.016e+00,1.017e+07
944,944,944,7.129e+06,6.782e-01,1.069e+07,1.017e+00,1.051e+07
960,960,960,7.373e+06,6.778e-01,1.106e+07,1.017e+00,1.088e+07
976,976,976,7.621e+06,6.778e-01,1.143e+07,1.017e+00,1.124e+07
992,992,992,7.873e+06,6.779e-01,1.181e+07,1.017e+00,1.161e+07
1008,1008,1008,8.129e+06,6.779e-01,1.219e+07,1.017e+00,1.199e+07
