size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,8.192e+03,3.901e+00,3.136e+03,1.493e+00,2.100e+03
32,32,32,3.277e+04,3.948e+00,1.235e+04,1.488e+00,8.300e+03
48,48,48,7.373e+04,3.943e+00,2.771e+04,1.482e+00,1.870e+04
64,64,64,1.311e+05,3.984e+00,4.922e+04,1.496e+00,3.290e+04
80,80,80,2.048e+05,3.984e+00,7.686e+04,1.495e+00,5.140e+04
96,96,96,2.949e+05,3.865e+00,1.107e+05,1.450e+00,7.630e+04
112,112,112,4.014e+05,3.970e+00,1.506e+05,1.490e+00,1.011e+05
128,128,128,5.243e+05,4.005e+00,1.967e+05,1.502e+00,1.309e+05
144,144,144,6.636e+05,3.985e+00,2.489e+05,1.495e+00,1.665e+05
160,160,160,8.192e+05,3.971e+00,3.073e+05,1.489e+00,2.063e+05
176,176,176,9.912e+05,3.974e+00,3.718e+05,1.491e+00,2.494e+05
192,192,192,1.180e+06,3.980e+00,4.424e+05,1.493e+00,2.964e+05
208,208,208,1.384e+06,3.982e+00,5.192e+05,1.493e+00,3.477e+05
224,224,224,1.606e+06,3.973e+00,6.022e+05,1.490e+00,4.041e+05
240,240,240,1.843e+06,3.971e+00,6.913e+05,1.489e+00,4.642e+05
256,256,256,2.097e+06,3.959e+00,7.865e+05,1.485e+00,5.297e+05
272,272,272,2.367e+06,3.971e+00,8.879e+05,1.489e+00,5.962e+05
288,288,288,2.654e+06,3.978e+00,9.954e+05,1.492e+00,6.672e+05
304,304,304,2.957e+06,3.976e+00,1.109e+06,1.491e+00,7.437e+05
320,320,320,3.277e+06,3.976e+00,1.229e+06,1.491e+00,8.241e+05
336,336,336,3.613e+06,3.974e+00,1.355e+06,1.490e+00,9.091e+05
352,352,352,3.965e+06,3.980e+00,1.487e+06,1.493e+00,9.962e+05
368,368,368,4.334e+06,3.979e+00,1.625e+06,1.492e+00,1.089e+06
384,384,384,4.719e+06,3.978e+00,1.770e+06,1.492e+00,1.186e+06
400,400,400,5.120e+06,3.981e+00,1.920e+06,1.493e+00,1.286e+06
416,416,416,5.538e+06,3.984e+00,2.077e+06,1.494e+00,1.390e+06
432,432,432,5.972e+06,3.985e+00,2.240e+06,1.495e+00,1.498e+06
448,448,448,6.423e+06,3.980e+00,2.409e+06,1.492e+00,1.614e+06
464,464,464,6.889e+06,3.984e+00,2.584e+06,1.494e+00,1.730e+06
480,480,480,7.373e+06,3.983e+00,2.765e+06,1.494e+00,1.851e+06
496,496,496,7.873e+06,3.985e+00,2.952e+06,1.494e+00,1.976e+06
512,512,512,8.389e+06,3.911e+00,3.146e+06,1.467e+00,2.145e+06
528,528,528,8.921e+06,3.986e+00,3.345e+06,1.495e+00,2.238e+06
544,544,544,9.470e+06,3.986e+00,3.551e+06,1.495e+00,2.376e+06
560,560,560,1.004e+07,3.986e+00,3.763e+06,1.495e+00,2.518e+06
576,576,576,1.062e+07,3.985e+00,3.981e+06,1.494e+00,2.664e+06
592,592,592,1.121e+07,3.985e+00,4.206e+06,1.494e+00,2.814e+06
608,608,608,1.183e+07,3.986e+00,4.436e+06,1.495e+00,2.968e+06
624,624,624,1.246e+07,3.986e+00,4.673e+06,1.495e+00,3.126e+06
640,640,640,1.311e+07,3.985e+00,4.915e+06,1.494e+00,3.289e+06
656,656,656,1.377e+07,3.988e+00,5.164e+06,1.495e+00,3.453e+06
672,672,672,1.445e+07,3.987e+00,5.419e+06,1.495e+00,3.625e+06
688,688,688,1.515e+07,3.979e+00,5.680e+06,1.492e+00,3.807e+06
704,704,704,1.586e+07,3.986e+00,5.947e+06,1.495e+00,3.978e+06
720,720,720,1.659e+07,3.977e+00,6.221e+06,1.492e+00,4.171e+06
736,736,736,1.733e+07,3.978e+00,6.500e+06,1.492e+00,4.357e+06
752,752,752,1.810e+07,3.980e+00,6.786e+06,1.492e+00,4.547e+06
768,768,768,1.887e+07,3.947e+00,7.078e+06,1.480e+00,4.782e+06
784,784,784,1.967e+07,3.982e+00,7.376e+06,1.493e+00,4.939e+06
800,800,800,2.048e+07,3.982e+00,7.680e+06,1.493e+00,5.143e+06
816,816,816,2.131e+07,3.979e+00,7.990e+06,1.492e+00,5.355e+06
832,832,832,2.215e+07,3.975e+00,8.307e+06,1.491e+00,5.573e+06
848,848,848,2.301e+07,3.977e+00,8.629e+06,1.491e+00,5.786e+06
864,864,864,2.389e+07,3.979e+00,8.958e+06,1.492e+00,6.004e+06
880,880,880,2.478e+07,3.978e+00,9.293e+06,1.492e+00,6.230e+06
896,896,896,2.569e+07,3.981e+00,9.634e+06,1.493e+00,6.453e+06
912,912,912,2.662e+07,3.979e+00,9.981e+06,1.492e+00,6.688e+06
928,928,928,2.756e+07,3.982e+00,1.033e+07,1.493e+00,6.920e+06
944,944,944,2.852e+07,3.980e+00,1.069e+07,1.493e+00,7.164e+06
960,960,960,2.949e+07,3.980e+00,1.106e+07,1.492e+00,7.411e+06
976,976,976,3.048e+07,3.982e+00,1.143e+07,1.493e+00,7.655e+06
992,992,992,3.149e+07,3.979e+00,1.181e+07,1.492e+00,7.914e+06
1008,1008,1008,3.251e+07,3.982e+00,1.219e+07,1.493e+00,8.165e+06
