size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,2.048e+03,3.413e+00,3.088e+03,5.147e+00,6.000e+02
32,32,32,8.192e+03,3.413e+00,1.230e+04,5.127e+00,2.400e+03
48,48,48,1.843e+04,3.413e+00,2.766e+04,5.123e+00,5.400e+03
64,64,64,3.277e+04,3.034e+00,4.917e+04,4.553e+00,1.080e+04
80,80,80,5.120e+04,3.436e+00,7.682e+04,5.155e+00,1.490e+04
96,96,96,7.373e+04,3.429e+00,1.106e+05,5.145e+00,2.150e+04
112,112,112,1.004e+05,3.425e+00,1.505e+05,5.138e+00,2.930e+04
128,128,128,1.311e+05,3.413e+00,1.966e+05,5.120e+00,3.840e+04
144,144,144,1.659e+05,3.379e+00,2.488e+05,5.068e+00,4.910e+04
160,160,160,2.048e+05,3.391e+00,3.072e+05,5.086e+00,6.040e+04
176,176,176,2.478e+05,3.432e+00,3.717e+05,5.149e+00,7.220e+04
192,192,192,2.949e+05,3.402e+00,4.424e+05,5.102e+00,8.670e+04
208,208,208,3.461e+05,3.403e+00,5.192e+05,5.105e+00,1.017e+05
224,224,224,4.014e+05,3.376e+00,6.021e+05,5.064e+00,1.189e+05
240,240,240,4.608e+05,3.371e+00,6.912e+05,5.056e+00,1.367e+05
256,256,256,5.243e+05,3.176e+00,7.864e+05,4.763e+00,1.651e+05
272,272,272,5.919e+05,3.323e+00,8.878e+05,4.985e+00,1.781e+05
288,288,288,6.636e+05,3.341e+00,9.953e+05,5.012e+00,1.986e+05
304,304,304,7.393e+05,3.351e+00,1.109e+06,5.027e+00,2.206e+05
320,320,320,8.192e+05,3.357e+00,1.229e+06,5.036e+00,2.440e+05
336,336,336,9.032e+05,3.340e+00,1.355e+06,5.010e+00,2.704e+05
352,352,352,9.912e+05,3.358e+00,1.487e+06,5.037e+00,2.952e+05
368,368,368,1.083e+06,3.345e+00,1.625e+06,5.017e+00,3.239e+05
384,384,384,1.180e+06,3.342e+00,1.769e+06,5.013e+00,3.530e+05
400,400,400,1.280e+06,3.346e+00,1.920e+06,5.020e+00,3.825e+05
416,416,416,1.384e+06,3.349e+00,2.077e+06,5.023e+00,4.134e+05
432,432,432,1.493e+06,3.363e+00,2.240e+06,5.044e+00,4.440e+05
448,448,448,1.606e+06,3.368e+00,2.408e+06,5.051e+00,4.768e+05
464,464,464,1.722e+06,3.355e+00,2.584e+06,5.033e+00,5.133e+05
480,480,480,1.843e+06,3.349e+00,2.765e+06,5.024e+00,5.503e+05
496,496,496,1.968e+06,3.348e+00,2.952e+06,5.022e+00,5.879e+05
512,512,512,2.097e+06,1.621e+00,3.146e+06,2.432e+00,1.293e+06
528,528,528,2.230e+06,3.333e+00,3.345e+06,4.999e+00,6.692e+05
544,544,544,2.367e+06,3.360e+00,3.551e+06,5.039e+00,7.047e+05
560,560,560,2.509e+06,3.360e+00,3.763e+06,5.040e+00,7.467e+05
576,576,576,2.654e+06,3.356e+00,3.981e+06,5.035e+00,7.908e+05
592,592,592,2.804e+06,3.359e+00,4.206e+06,5.039e+00,8.346e+05
608,608,608,2.957e+06,3.366e+00,4.436e+06,5.048e+00,8.787e+05
624,624,624,3.115e+06,3.360e+00,4.673e+06,5.040e+00,9.270e+05
640,640,640,3.277e+06,3.338e+00,4.915e+06,5.006e+00,9.818e+05
656,656,656,3.443e+06,3.363e+00,5.164e+06,5.044e+00,1.024e+06
672,672,672,3.613e+06,3.364e+00,5.419e+06,5.047e+00,1.074e+06
688,688,688,3.787e+06,3.362e+00,5.680e+06,5.043e+00,1.126e+06
704,704,704,3.965e+06,3.362e+00,5.947e+06,5.042e+00,1.180e+06
720,720,720,4.147e+06,3.359e+00,6.221e+06,5.039e+00,1.234e+06
736,736,736,4.334e+06,3.360e+00,6.500e+06,5.040e+00,1.290e+06
752,752,752,4.524e+06,3.361e+00,6.786e+06,5.042e+00,1.346e+06
768,768,768,4.719e+06,3.190e+00,7.078e+06,4.784e+00,1.479e+06
784,784,784,4.917e+06,3.360e+00,7.376e+06,5.040e+00,1.463e+06
800,800,800,5.120e+06,3.364e+00,7.680e+06,5.047e+00,1.522e+06
816,816,816,5.327e+06,3.362e+00,7.990e+06,5.043e+00,1.584e+06
832,832,832,5.538e+06,3.366e+00,8.307e+06,5.049e+00,1.645e+06
848,848,848,5.753e+06,3.362e+00,8.629e+06,5.043e+00,1.711e+06
864,864,864,5.972e+06,3.363e+00,8.958e+06,5.045e+00,1.776e+06
880,880,880,6.195e+06,3.369e+00,9.293e+06,5.053e+00,1.839e+06
896,896,896,6.423e+06,2.926e+00,9.634e+06,4.389e+00,2.195e+06
912,912,912,6.654e+06,3.366e+00,9.981e+06,5.049e+00,1.977e+06
928,928,928,6.889e+06,3.365e+00,1.033e+07,5.048e+00,2.047e+06
944,944,944,7.129e+06,3.368e+00,1.069e+07,5.053e+00,2.116e+06
960,960,960,7.373e+06,3.351e+00,1.106e+07,5.026e+00,2.200e+06
976,976,976,7.621e+06,3.132e+00,1.143e+07,4.698e+00,2.433e+06
992,992,992,7.873e+06,3.335e+00,1.181e+07,5.002e+00,2.361e+06
1008,1008,1008,8.129e+06,3.011e+00,1.219e+07,4.517e+00,2.700e+06
