size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,2.048e+03,2.926e+00,3.088e+03,4.411e+00,7.000e+02
32,32,32,8.192e+03,3.151e+00,1.230e+04,4.732e+00,2.600e+03
48,48,48,1.843e+04,3.072e+00,2.766e+04,4.611e+00,6.000e+03
64,64,64,3.277e+04,3.151e+00,4.917e+04,4.728e+00,1.040e+04
80,80,80,5.120e+04,2.977e+00,7.682e+04,4.466e+00,1.720e+04
96,96,96,7.373e+04,3.164e+00,1.106e+05,4.747e+00,2.330e+04
112,112,112,1.004e+05,3.146e+00,1.505e+05,4.719e+00,3.190e+04
128,128,128,1.311e+05,2.999e+00,1.966e+05,4.499e+00,4.370e+04
144,144,144,1.659e+05,3.136e+00,2.488e+05,4.704e+00,5.290e+04
160,160,160,2.048e+05,3.151e+00,3.072e+05,4.726e+00,6.500e+04
176,176,176,2.478e+05,3.109e+00,3.717e+05,4.664e+00,7.970e+04
192,192,192,2.949e+05,3.069e+00,4.424e+05,4.603e+00,9.610e+04
208,208,208,3.461e+05,3.079e+00,5.192e+05,4.619e+00,1.124e+05
224,224,224,4.014e+05,3.069e+00,6.021e+05,4.603e+00,1.308e+05
240,240,240,4.608e+05,3.072e+00,6.912e+05,4.608e+00,1.500e+05
256,256,256,5.243e+05,2.317e+00,7.864e+05,3.475e+00,2.263e+05
272,272,272,5.919e+05,3.062e+00,8.878e+05,4.593e+00,1.933e+05
288,288,288,6.636e+05,3.041e+00,9.953e+05,4.562e+00,2.182e+05
304,304,304,7.393e+05,3.008e+00,1.109e+06,4.512e+00,2.458e+05
320,320,320,8.192e+05,3.006e+00,1.229e+06,4.509e+00,2.725e+05
336,336,336,9.032e+05,3.010e+00,1.355e+06,4.514e+00,3.001e+05
352,352,352,9.912e+05,3.019e+00,1.487e+06,4.529e+00,3.283e+05
368,368,368,1.083e+06,3.024e+00,1.625e+06,4.536e+00,3.583e+05
384,384,384,1.180e+06,2.883e+00,1.769e+06,4.324e+00,4.092e+05
400,400,400,1.280e+06,2.996e+00,1.920e+06,4.493e+00,4.273e+05
416,416,416,1.384e+06,3.004e+00,2.077e+06,4.506e+00,4.609e+05
432,432,432,1.493e+06,2.996e+00,2.240e+06,4.494e+00,4.983e+05
448,448,448,1.606e+06,3.015e+00,2.408e+06,4.522e+00,5.326e+05
464,464,464,1.722e+06,3.004e+00,2.584e+06,4.506e+00,5.734e+05
480,480,480,1.843e+06,3.010e+00,2.765e+06,4.515e+00,6.123e+05
496,496,496,1.968e+06,3.016e+00,2.952e+06,4.524e+00,6.526e+05
512,512,512,2.097e+06,3.255e-01,3.146e+06,4.883e-01,6.442e+06
528,528,528,2.230e+06,3.006e+00,3.345e+06,4.509e+00,7.419e+05
544,544,544,2.367e+06,3.023e+00,3.551e+06,4.534e+00,7.832e+05
560,560,560,2.509e+06,3.027e+00,3.763e+06,4.541e+00,8.287e+05
576,576,576,2.654e+06,3.035e+00,3.981e+06,4.552e+00,8.746e+05
592,592,592,2.804e+06,3.025e+00,4.206e+06,4.537e+00,9.270e+05
608,608,608,2.957e+06,3.031e+00,4.436e+06,4.546e+00,9.757e+05
624,624,624,3.115e+06,3.033e+00,4.673e+06,4.550e+00,1.027e+06
640,640,640,3.277e+06,2.872e+00,4.915e+06,4.308e+00,1.141e+06
656,656,656,3.443e+06,3.029e+00,5.164e+06,4.544e+00,1.136e+06
672,672,672,3.613e+06,3.027e+00,5.419e+06,4.541e+00,1.193e+06
688,688,688,3.787e+06,3.025e+00,5.680e+06,4.538e+00,1.252e+06
704,704,704,3.965e+06,2.928e+00,5.947e+06,4.392e+00,1.354e+06
720,720,720,4.147e+06,3.030e+00,6.221e+06,4.545e+00,1.369e+06
736,736,736,4.334e+06,3.037e+00,6.500e+06,4.556e+00,1.427e+06
752,752,752,4.524e+06,3.030e+00,6.786e+06,4.546e+00,1.493e+06
768,768,768,4.719e+06,2.195e+00,7.078e+06,3.292e+00,2.150e+06
784,784,784,4.917e+06,3.029e+00,7.376e+06,4.544e+00,1.623e+06
800,800,800,5.120e+06,3.040e+00,7.680e+06,4.560e+00,1.684e+06
816,816,816,5.327e+06,3.036e+00,7.990e+06,4.554e+00,1.754e+06
832,832,832,5.538e+06,3.000e+00,8.307e+06,4.500e+00,1.846e+06
848,848,848,5.753e+06,3.020e+00,8.629e+06,4.530e+00,1.905e+06
864,864,864,5.972e+06,3.035e+00,8.958e+06,4.553e+00,1.968e+06
880,880,880,6.195e+06,2.979e+00,9.293e+06,4.469e+00,2.079e+06
896,896,896,6.423e+06,2.699e+00,9.634e+06,4.049e+00,2.379e+06
912,912,912,6.654e+06,2.972e+00,9.981e+06,4.458e+00,2.239e+06
928,928,928,6.889e+06,3.034e+00,1.033e+07,4.551e+00,2.271e+06
944,944,944,7.129e+06,2.869e+00,1.069e+07,4.303e+00,2.485e+06
960,960,960,7.373e+06,3.030e+00,1.106e+07,4.545e+00,2.433e+06
976,976,976,7.621e+06,2.900e+00,1.143e+07,4.350e+00,2.628e+06
992,992,992,7.873e+06,3.034e+00,1.181e+07,4.552e+00,2.594e+06
1008,1008,1008,8.129e+06,2.946e+00,1.219e+07,4.419e+00,2.759e+06
