size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,2.048e+03,4.096e+00,3.088e+03,6.176e+00,5.000e+02
32,32,32,8.192e+03,4.819e+00,1.230e+04,7.238e+00,1.700e+03
48,48,48,1.843e+04,5.120e+00,2.766e+04,7.684e+00,3.600e+03
64,64,64,3.277e+04,4.096e+00,4.917e+04,6.146e+00,8.000e+03
80,80,80,5.120e+04,5.224e+00,7.682e+04,7.838e+00,9.800e+03
96,96,96,7.373e+04,5.192e+00,1.106e+05,7.789e+00,1.420e+04
112,112,112,1.004e+05,5.282e+00,1.505e+05,7.923e+00,1.900e+04
128,128,128,1.311e+05,5.041e+00,1.966e+05,7.562e+00,2.600e+04
144,144,144,1.659e+05,5.233e+00,2.488e+05,7.850e+00,3.170e+04
160,160,160,2.048e+05,5.172e+00,3.072e+05,7.758e+00,3.960e+04
176,176,176,2.478e+05,5.284e+00,3.717e+05,7.926e+00,4.690e+04
192,192,192,2.949e+05,5.285e+00,4.424e+05,7.928e+00,5.580e+04
208,208,208,3.461e+05,5.300e+00,5.192e+05,7.951e+00,6.530e+04
224,224,224,4.014e+05,5.268e+00,6.021e+05,7.902e+00,7.620e+04
240,240,240,4.608e+05,5.266e+00,6.912e+05,7.900e+00,8.750e+04
256,256,256,5.243e+05,5.248e+00,7.864e+05,7.872e+00,9.990e+04
272,272,272,5.919e+05,5.206e+00,8.878e+05,7.808e+00,1.137e+05
288,288,288,6.636e+05,5.192e+00,9.953e+05,7.788e+00,1.278e+05
304,304,304,7.393e+05,5.214e+00,1.109e+06,7.821e+00,1.418e+05
320,320,320,8.192e+05,5.191e+00,1.229e+06,7.787e+00,1.578e+05
336,336,336,9.032e+05,5.197e+00,1.355e+06,7.795e+00,1.738e+05
352,352,352,9.912e+05,5.195e+00,1.487e+06,7.793e+00,1.908e+05
368,368,368,1.083e+06,5.147e+00,1.625e+06,7.720e+00,2.105e+05
384,384,384,1.180e+06,5.224e+00,1.769e+06,7.837e+00,2.258e+05
400,400,400,1.280e+06,5.218e+00,1.920e+06,7.827e+00,2.453e+05
416,416,416,1.384e+06,5.220e+00,2.077e+06,7.831e+00,2.652e+05
432,432,432,1.493e+06,5.235e+00,2.240e+06,7.852e+00,2.852e+05
448,448,448,1.606e+06,5.186e+00,2.408e+06,7.779e+00,3.096e+05
464,464,464,1.722e+06,5.210e+00,2.584e+06,7.815e+00,3.306e+05
480,480,480,1.843e+06,5.219e+00,2.765e+06,7.828e+00,3.532e+05
496,496,496,1.968e+06,5.246e+00,2.952e+06,7.868e+00,3.752e+05
512,512,512,2.097e+06,5.069e+00,3.146e+06,7.604e+00,4.137e+05
528,528,528,2.230e+06,5.229e+00,3.345e+06,7.844e+00,4.265e+05
544,544,544,2.367e+06,5.225e+00,3.551e+06,7.838e+00,4.531e+05
560,560,560,2.509e+06,5.251e+00,3.763e+06,7.876e+00,4.778e+05
576,576,576,2.654e+06,5.255e+00,3.981e+06,7.882e+00,5.051e+05
592,592,592,2.804e+06,5.248e+00,4.206e+06,7.873e+00,5.342e+05
608,608,608,2.957e+06,5.257e+00,4.436e+06,7.886e+00,5.625e+05
624,624,624,3.115e+06,5.241e+00,4.673e+06,7.861e+00,5.944e+05
640,640,640,3.277e+06,5.245e+00,4.915e+06,7.867e+00,6.248e+05
656,656,656,3.443e+06,5.256e+00,5.164e+06,7.884e+00,6.550e+05
672,672,672,3.613e+06,5.247e+00,5.419e+06,7.871e+00,6.885e+05
688,688,688,3.787e+06,5.269e+00,5.680e+06,7.903e+00,7.187e+05
704,704,704,3.965e+06,5.272e+00,5.947e+06,7.908e+00,7.521e+05
720,720,720,4.147e+06,5.260e+00,6.221e+06,7.890e+00,7.884e+05
736,736,736,4.334e+06,5.266e+00,6.500e+06,7.898e+00,8.230e+05
752,752,752,4.524e+06,5.262e+00,6.786e+06,7.893e+00,8.598e+05
768,768,768,4.719e+06,5.265e+00,7.078e+06,7.898e+00,8.962e+05
784,784,784,4.917e+06,5.270e+00,7.376e+06,7.906e+00,9.330e+05
800,800,800,5.120e+06,5.263e+00,7.680e+06,7.895e+00,9.728e+05
816,816,816,5.327e+06,5.256e+00,7.990e+06,7.884e+00,1.014e+06
832,832,832,5.538e+06,5.275e+00,8.307e+06,7.912e+00,1.050e+06
848,848,848,5.753e+06,5.273e+00,8.629e+06,7.909e+00,1.091e+06
864,864,864,5.972e+06,5.265e+00,8.958e+06,7.898e+00,1.134e+06
880,880,880,6.195e+06,5.259e+00,9.293e+06,7.888e+00,1.178e+06
896,896,896,6.423e+06,5.230e+00,9.634e+06,7.844e+00,1.228e+06
912,912,912,6.654e+06,5.255e+00,9.981e+06,7.883e+00,1.266e+06
928,928,928,6.889e+06,5.254e+00,1.033e+07,7.882e+00,1.311e+06
944,944,944,7.129e+06,5.262e+00,1.069e+07,7.894e+00,1.355e+06
960,960,960,7.373e+06,5.226e+00,1.106e+07,7.840e+00,1.411e+06
976,976,976,7.621e+06,5.123e+00,1.143e+07,7.685e+00,1.488e+06
992,992,992,7.873e+06,5.172e+00,1.181e+07,7.759e+00,1.522e+06
1008,1008,1008,8.129e+06,5.070e+00,1.219e+07,7.604e+00,1.603e+06
