m,n,error,status
16, 0, 0.000000, PASS
32, 0, 0.000000, PASS
48, 0, 0.000000, PASS
64, 0, 0.000000, PASS
80, 0, 0.000000, PASS
96, 0, 0.000000, PASS
112, 0, 0.000000, PASS
128, 0, 0.000000, PASS
144, 0, 0.000000, PASS
160, 0, 0.000000, PASS
176, 0, 0.000000, PASS
192, 0, 0.000000, PASS
208, 0, 0.000000, PASS
224, 0, 0.000000, PASS
240, 0, 0.000000, PASS
