size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,1.075e+04,5.169e-01,3.156e+03,1.517e-01,2.080e+04
32,32,32,4.301e+04,5.144e-01,1.237e+04,1.480e-01,8.360e+04
48,48,48,9.677e+04,5.134e-01,2.773e+04,1.471e-01,1.885e+05
64,64,64,1.720e+05,5.118e-01,4.924e+04,1.465e-01,3.361e+05
80,80,80,2.688e+05,5.103e-01,7.688e+04,1.460e-01,5.267e+05
96,96,96,3.871e+05,5.111e-01,1.107e+05,1.461e-01,7.573e+05
112,112,112,5.268e+05,5.111e-01,1.506e+05,1.461e-01,1.031e+06
128,128,128,6.881e+05,5.102e-01,1.967e+05,1.458e-01,1.349e+06
144,144,144,8.709e+05,5.101e-01,2.489e+05,1.458e-01,1.708e+06
160,160,160,1.075e+06,5.105e-01,3.073e+05,1.459e-01,2.106e+06
176,176,176,1.301e+06,5.108e-01,3.718e+05,1.460e-01,2.547e+06
192,192,192,1.548e+06,5.110e-01,4.425e+05,1.460e-01,3.030e+06
208,208,208,1.817e+06,5.109e-01,5.193e+05,1.460e-01,3.557e+06
224,224,224,2.107e+06,5.106e-01,6.022e+05,1.459e-01,4.128e+06
240,240,240,2.419e+06,5.105e-01,6.913e+05,1.459e-01,4.739e+06
256,256,256,2.753e+06,5.103e-01,7.865e+05,1.458e-01,5.394e+06
272,272,272,3.107e+06,5.103e-01,8.879e+05,1.458e-01,6.090e+06
288,288,288,3.484e+06,5.105e-01,9.954e+05,1.459e-01,6.824e+06
304,304,304,3.881e+06,5.104e-01,1.109e+06,1.459e-01,7.604e+06
320,320,320,4.301e+06,5.104e-01,1.229e+06,1.458e-01,8.427e+06
336,336,336,4.742e+06,5.101e-01,1.355e+06,1.458e-01,9.295e+06
352,352,352,5.204e+06,5.103e-01,1.487e+06,1.458e-01,1.020e+07
368,368,368,5.688e+06,5.103e-01,1.625e+06,1.458e-01,1.115e+07
384,384,384,6.193e+06,5.105e-01,1.770e+06,1.459e-01,1.213e+07
400,400,400,6.720e+06,5.102e-01,1.920e+06,1.458e-01,1.317e+07
416,416,416,7.268e+06,5.104e-01,2.077e+06,1.458e-01,1.424e+07
432,432,432,7.838e+06,5.104e-01,2.240e+06,1.458e-01,1.536e+07
448,448,448,8.430e+06,5.102e-01,2.409e+06,1.458e-01,1.652e+07
464,464,464,9.042e+06,5.104e-01,2.584e+06,1.458e-01,1.772e+07
480,480,480,9.677e+06,5.103e-01,2.765e+06,1.458e-01,1.896e+07
496,496,496,1.033e+07,5.105e-01,2.952e+06,1.459e-01,2.024e+07
512,512,512,1.101e+07,5.102e-01,3.146e+06,1.458e-01,2.158e+07
528,528,528,1.171e+07,5.104e-01,3.345e+06,1.458e-01,2.294e+07
544,544,544,1.243e+07,5.103e-01,3.551e+06,1.458e-01,2.436e+07
560,560,560,1.317e+07,5.103e-01,3.763e+06,1.458e-01,2.581e+07
576,576,576,1.393e+07,5.102e-01,3.981e+06,1.458e-01,2.731e+07
592,592,592,1.472e+07,5.100e-01,4.206e+06,1.457e-01,2.886e+07
608,608,608,1.553e+07,5.101e-01,4.436e+06,1.457e-01,3.044e+07
624,624,624,1.635e+07,5.103e-01,4.673e+06,1.458e-01,3.205e+07
640,640,640,1.720e+07,5.102e-01,4.915e+06,1.458e-01,3.372e+07
656,656,656,1.807e+07,5.103e-01,5.164e+06,1.458e-01,3.542e+07
672,672,672,1.897e+07,5.103e-01,5.419e+06,1.458e-01,3.717e+07
688,688,688,1.988e+07,5.103e-01,5.680e+06,1.458e-01,3.896e+07
704,704,704,2.082e+07,5.103e-01,5.947e+06,1.458e-01,4.079e+07
720,720,720,2.177e+07,5.102e-01,6.221e+06,1.458e-01,4.267e+07
736,736,736,2.275e+07,5.105e-01,6.500e+06,1.458e-01,4.457e+07
752,752,752,2.375e+07,5.103e-01,6.786e+06,1.458e-01,4.655e+07
768,768,768,2.477e+07,5.102e-01,7.078e+06,1.458e-01,4.856e+07
784,784,784,2.582e+07,5.104e-01,7.376e+06,1.458e-01,5.058e+07
800,800,800,2.688e+07,5.103e-01,7.680e+06,1.458e-01,5.267e+07
816,816,816,2.797e+07,5.102e-01,7.990e+06,1.458e-01,5.481e+07
832,832,832,2.907e+07,5.100e-01,8.307e+06,1.457e-01,5.701e+07
848,848,848,3.020e+07,5.096e-01,8.629e+06,1.456e-01,5.927e+07
864,864,864,3.135e+07,5.102e-01,8.958e+06,1.458e-01,6.146e+07
880,880,880,3.252e+07,5.098e-01,9.293e+06,1.457e-01,6.380e+07
896,896,896,3.372e+07,5.102e-01,9.634e+06,1.458e-01,6.608e+07
912,912,912,3.493e+07,5.099e-01,9.981e+06,1.457e-01,6.851e+07
928,928,928,3.617e+07,5.101e-01,1.033e+07,1.458e-01,7.090e+07
944,944,944,3.743e+07,5.100e-01,1.069e+07,1.457e-01,7.339e+07
960,960,960,3.871e+07,5.096e-01,1.106e+07,1.456e-01,7.595e+07
976,976,976,4.001e+07,5.101e-01,1.143e+07,1.457e-01,7.843e+07
992,992,992,4.133e+07,5.100e-01,1.181e+07,1.457e-01,8.104e+07
1008,1008,1008,4.267e+07,5.097e-01,1.219e+07,1.456e-01,8.373e+07
